Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01,Chrome 128.0.0.0,,,18-09-2024 09:16:20,18-09-2024 09:16:41,20.261s,PASSED
,,,,,,,
Test Cases/TC01,Chrome 128.0.0.0,,,18-09-2024 09:16:21,18-09-2024 09:16:33,12.055s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,18-09-2024 09:16:21,18-09-2024 09:16:22,1.699s,PASSED
"navigateToUrl(""https://svp.sbs-stg.surgicalvideo.io/auth"")",Chrome 128.0.0.0,,,18-09-2024 09:16:22,18-09-2024 09:16:23,0.983s,PASSED
"setText(findTestObject(""Object Repository/Page_Surgical Video/input_Email_sharedInput""), ""svp2903@mailinator.com"")",Chrome 128.0.0.0,,,18-09-2024 09:16:23,18-09-2024 09:16:24,0.699s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Surgical Video/input_Password_sharedInput""), ""7YYAPzqgNw77WVoSql9amg=="")",Chrome 128.0.0.0,,,18-09-2024 09:16:24,18-09-2024 09:16:24,0.290s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/button_Sign In""))",Chrome 128.0.0.0,,,18-09-2024 09:16:24,18-09-2024 09:16:25,0.289s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/div_Tr""))",Chrome 128.0.0.0,,,18-09-2024 09:16:25,18-09-2024 09:16:28,3.882s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/div_logoutLog Out""))",Chrome 128.0.0.0,,,18-09-2024 09:16:28,18-09-2024 09:16:32,3.189s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/button_Confirm""))",Chrome 128.0.0.0,,,18-09-2024 09:16:32,18-09-2024 09:16:32,0.746s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,18-09-2024 09:16:32,18-09-2024 09:16:33,0.182s,PASSED
,,,,,,,
Test Cases/TC02,Chrome 128.0.0.0,,,18-09-2024 09:16:33,18-09-2024 09:16:41,8.145s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,18-09-2024 09:16:33,18-09-2024 09:16:33,0.682s,PASSED
"navigateToUrl(""https://svp.sbs-stg.surgicalvideo.io/auth"")",Chrome 128.0.0.0,,,18-09-2024 09:16:33,18-09-2024 09:16:34,0.716s,PASSED
"setText(findTestObject(""Object Repository/Page_Surgical Video/input_Email_sharedInput""), ""meghaabc@mailinator.com"")",Chrome 128.0.0.0,,,18-09-2024 09:16:34,18-09-2024 09:16:35,0.566s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Surgical Video/input_Password_sharedInput""), ""8tmQP900cn+KcSNHKgJU7Q=="")",Chrome 128.0.0.0,,,18-09-2024 09:16:35,18-09-2024 09:16:35,0.266s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/button_Sign In""))",Chrome 128.0.0.0,,,18-09-2024 09:16:35,18-09-2024 09:16:35,0.252s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/div_ee""))",Chrome 128.0.0.0,,,18-09-2024 09:16:35,18-09-2024 09:16:39,4.128s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/p_Log Out""))",Chrome 128.0.0.0,,,18-09-2024 09:16:39,18-09-2024 09:16:40,0.463s,PASSED
"click(findTestObject(""Object Repository/Page_Surgical Video/button_Confirm""))",Chrome 128.0.0.0,,,18-09-2024 09:16:40,18-09-2024 09:16:41,0.920s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,18-09-2024 09:16:41,18-09-2024 09:16:41,0.115s,PASSED
